business_id,company_name,business_ref_code,account_manager,business_group,business_unit,account_motion
103959,SQUAREX PTE. LTD.,SGSQPY,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
125840,STAEDY LABS PTE. LTD.,SGSLEF,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
155564,STAPLE AI PTE LTD,SG2NJM,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
112673,STAPLE AI PTE. LTD.,SGMZVJ,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
137241,STARBOARD NETWORKS PTE LTD,SGSNHF,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
101907,STARTCAREFULLY PTE. LTD.,SG4VPC,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
109572,SUNA OPTOELECTRONICS (SINGAPORE) PTE LTD,SGSPLU,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
70216,SUNERA TECH PTE. LTD.,SGSTWN,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
81634,SUNGIL GARMENT PTE. LTD.,SGSUG2,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
103911,SUPERBENCH PTE LTD,SGRNXQ,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
152838,SUPERLINEAR TECHNOLOGY PTE LTD,SGSTKW,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
92687,SURGE GLOBAL PTE. LTD.,SGSG9S,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
110732,SURGE GLOBAL PTE. LTD.,SGSGGX,SG AM-Rachel,Aspire FT Pte Ltd,AspireOS,Key
139287,SWRM LABS PTE. LTD.,SGSWRL,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
68726,SYLNDR PTE LTD,SGKNPS,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
146485,SYNGENTIX PTE. LTD.,SGSYPB,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
94677,SYNKRONOUS PTE. LTD.,SGSPCQ,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
133852,SYSTEMEARTH PTE. LTD.,SGSYPW,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
70049,TANKARD PTE. LTD.,SGTAPB,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
131533,TAPPADS PTE. LTD.,SGEEV4,SG AM-Rachel,Aspire FT Pte Ltd,AspireBA,Key
